"","gene","cluster4"
"ENSMUSG00000069196_2","ENSMUSG00000069196_2",1
"Aen","Aen",1
"Furin","Furin",1
"ENSMUSG00000081664_2","ENSMUSG00000081664_2",1
"Cemip","Cemip",1
"Gm8183_1","Gm8183_1",1
"ENSMUSG00000092071","ENSMUSG00000092071",1
"ENSMUSG00000092071_1","ENSMUSG00000092071_1",1
"Pold3","Pold3",1
"ENSMUSG00000086513","ENSMUSG00000086513",1
"ENSMUSG00000093378","ENSMUSG00000093378",1
"Copb1","Copb1",1
"ENSMUSG00000064971_1","ENSMUSG00000064971_1",1
"Xylt1","Xylt1",1
"ENSMUSG00000088116","ENSMUSG00000088116",1
"ENSMUSG00000088116_6","ENSMUSG00000088116_6",1
"Gp2_1","Gp2_1",1
"Abca15_1","Abca15_1",1
"Abca15_2","Abca15_2",1
"Cacng3_1","Cacng3_1",1
"Coro1a","Coro1a",1
"Ctf1","Ctf1",1
"Itgax","Itgax",1
"1700120G07Rik","1700120G07Rik",1
"1700120G07Rik_1","1700120G07Rik_1",1
"Nps_2","Nps_2",1
"Ppp2r2d","Ppp2r2d",1
"Ppp2r2d_1","Ppp2r2d_1",1
"Ppp2r2d_2","Ppp2r2d_2",1
"Nkx6-2_2","Nkx6-2_2",1
"Nkx6-2_3","Nkx6-2_3",1
"B4galnt4_1","B4galnt4_1",1
"ENSMUSG00000048191","ENSMUSG00000048191",1
"ENSMUSG00000092536","ENSMUSG00000092536",1
"Brsk2","Brsk2",1
"Naxd","Naxd",1
"Cfap97d2","Cfap97d2",1
"Cfap97d2_2","Cfap97d2_2",1
"ENSMUSG00000043794","ENSMUSG00000043794",1
"Thap1","Thap1",1
"ENSMUSG00000087981_4","ENSMUSG00000087981_4",1
"ENSMUSG00000097474","ENSMUSG00000097474",1
"ENSMUSG00000085672","ENSMUSG00000085672",1
"ENSMUSG00000086190_1","ENSMUSG00000086190_1",1
"Stox2_4","Stox2_4",1
"ENSMUSG00000060559","ENSMUSG00000060559",1
"ENSMUSG00000060559_1","ENSMUSG00000060559_1",1
"Galntl6","Galntl6",1
"Galntl6_3","Galntl6_3",1
"Comp","Comp",1
"Comp_1","Comp_1",1
"ENSMUSG00000089447","ENSMUSG00000089447",1
"Ttc29_1","Ttc29_1",1
"Ttc29_4","Ttc29_4",1
"ENSMUSG00000092826","ENSMUSG00000092826",1
"Mir8109_1","Mir8109_1",1
"4933402J07Rik","4933402J07Rik",1
"4933402J07Rik_1","4933402J07Rik_1",1
"4933402J07Rik_2","4933402J07Rik_2",1
"4933402J07Rik_3","4933402J07Rik_3",1
"4933402J07Rik_4","4933402J07Rik_4",1
"ENSMUSG00000089301_1","ENSMUSG00000089301_1",1
"Gm5356","Gm5356",1
"ENSMUSG00000046413_1","ENSMUSG00000046413_1",1
"Ccdc102a","Ccdc102a",1
"Kifc3_3","Kifc3_3",1
"Kifc3_4","Kifc3_4",1
"Kifc3_5","Kifc3_5",1
"Setd6","Setd6",1
"Cnot1","Cnot1",1
"Tango6_1","Tango6_1",1
"ENSMUSG00000093112_1","ENSMUSG00000093112_1",1
"Bcar1_2","Bcar1_2",1
"Mphosph6","Mphosph6",1
"Gm25200_2","Gm25200_2",1
"Gm25200_3","Gm25200_3",1
"Gm25200_4","Gm25200_4",1
"Piezo1_1","Piezo1_1",1
"Aprt","Aprt",1
