Cluster 1,Cluster 2,Cluster 3,Cluster 4
,,ENSMUSG00000087574,
,,Aebp1,
,,Inca1,
,,Fads6,
,,6330403K07Rik,
,,Spns3,
,,Rsad1,
,,ENSMUSG00000087060,
,,Fbxo48,
,,Itga3,
,,ENSMUSG00000081868,
,,ENSMUSG00000084048,
,,Tmem17,
,,ENSMUSG00000084068,
,,Trgv1,
,,Stard3nl,
,,ENSMUSG00000113649,
,,ENSMUSG00000113104,
,,ENSMUSG00000114348,
,,ENSMUSG00000114612,
,,Cd83,
,,Nhlrc1,
,,Ocln,
,,Rnf144b,
,,Ptpdc1,
,,Hus1b,
,,ENSMUSG00000056257,
,,Serpinb1b,
,,Glrx,
,,Adamts6,
,,Serpinb6a,
,,ENSMUSG00000097709,
,,Gdi2,
,,ENSMUSG00000113128,
,,Nrn1,
,,ENSMUSG00000113810,
,,ENSMUSG00000114638,
,,Gpx8,
,,ENSMUSG00000112955,
,,4930451E10Rik,
,,Serinc5,
,,Mtx3,
,,ENSMUSG00000114535,
,,Tut7,
,,ENSMUSG00000114835,
,,Lratd1,
,,Dio3os,
,,Egln3,
,,Pqlc3,
,,2410004P03Rik,
,,Batf,
,,Flvcr2,
,,ENSMUSG00000113246,
,,Tgfb3,
,,5033406O09Rik,
,,ENSMUSG00000076614,
,,Ighg3,
,,Gm18968,
,,Ston2,
,,L2hgdh,
,,Ttc8,
,,D430020J02Rik,
,,ENSMUSG00000113012,
,,F730043M19Rik,
,,Ahr,
,,ENSMUSG00000113086,
,,Serpina9,
,,Serpina12,
,,Coch,
,,D430019H16Rik,
,,Gm4787,
,,ENSMUSG00000112105,
,,ENSMUSG00000113141,
,,Klhl29,
,,4921511I17Rik,
,,ENSMUSG00000103898,
,,Cbx5,
,,Tnfrsf13c,
,,Ptger4,
,,ENSMUSG00000075511,
,,Bik,
,,Capsl,
,,Ccn4,
,,ENSMUSG00000115543,
,,Ropn1l,
,,1700084J12Rik,
,,Ly6d,
,,ENSMUSG00000115278,
,,ENSMUSG00000114981,
,,Adamts20,
,,Gm17546,
,,ENSMUSG00000097536,
,,ENSMUSG00000098021,
,,Troap,
,,ENSMUSG00000090406,
,,C330013E15Rik,
,,Zfp647,
,,Myh9,
,,Card10,
,,Dnajb7,
,,Tigd5,
,,Tiam1,
,,Cd80,
,,ENSMUSG00000116600,
